Lankenau Medical Center,(484) 476-2000,"100 E Lancaster Ave, Wynnewood, PA 19096",19096,2000,T
Roxborough Memorial Hospital,(215) 483-9900,"5800 Ridge Ave, Philadelphia, PA 19128",19128,1290,F
UPenn Hospital,(215) 748-9000,"501 S 54th St, Philadelphia, PA 19143",19143,10000,T
Chestnut Hill Hospital,(215) 248-8200,"8835 Germantown Ave, Philadelphia, PA 19118",19118,2900,F
Delaware County Memorial Hospital (DCMH),(610) 284-8100,"501 N Lansdowne Ave, Drexel Hill, PA 19026",19026,3700,T
MockHospital1,610-MOCK1,MockAddress1,19000,1239,T
MockHospital2,610-MOCK2,MockAddress2,19001,12000,T
MockHospital3,610-MOCK3,MockAddress3,19002,12129,F
MockHospital4,610-MOCK4,MockAddress4,19003,12258,T
MockHospital5,610-MOCK5,MockAddress5,19004,12387,F
MockHospital6,610-MOCK6,MockAddress6,19005,12516,T
MockHospital7,610-MOCK7,MockAddress7,19006,12645,T
MockHospital8,610-MOCK8,MockAddress8,19007,12774,T
MockHospital9,610-MOCK9,MockAddress9,19008,12903,T
MockHospital10,610-MOCK10,MockAddress10,19009,13032,F
MockHospital11,610-MOCK11,MockAddress11,19010,13161,T
MockHospital12,610-MOCK12,MockAddress12,19011,13290,F
MockHospital13,610-MOCK13,MockAddress13,19012,13419,T
MockHospital14,610-MOCK14,MockAddress14,19013,13548,F
MockHospital15,610-MOCK15,MockAddress15,19014,12180,T
MockHospital16,610-MOCK16,MockAddress16,19015,10812,T
MockHospital17,610-MOCK17,MockAddress17,19016,9444,T
MockHospital18,610-MOCK18,MockAddress18,19017,8076,T
MockHospital19,610-MOCK19,MockAddress19,19018,6708,F
MockHospital20,610-MOCK20,MockAddress20,19019,5340,T
MockHospital21,610-MOCK21,MockAddress21,19020,6100,F
MockHospital22,610-MOCK22,MockAddress22,19021,6860,T
MockHospital23,610-MOCK23,MockAddress23,19022,7620,F
MockHospital24,610-MOCK24,MockAddress24,19023,8380,T
MockHospital25,610-MOCK25,MockAddress25,19024,9140,T
MockHospital26,610-MOCK26,MockAddress26,19025,9900,T
MockHospital27,610-MOCK27,MockAddress27,19026,10660,T
MockHospital28,610-MOCK28,MockAddress28,19027,11420,F
MockHospital29,610-MOCK29,MockAddress29,19028,12180,T
MockHospital30,610-MOCK30,MockAddress30,19029,12940,F
MockHospital31,610-MOCK31,MockAddress31,19030,13700,T
MockHospital32,610-MOCK32,MockAddress32,19031,14460,F
MockHospital33,610-MOCK33,MockAddress33,19032,15220,T
MockHospital34,610-MOCK34,MockAddress34,19033,15980,T
MockHospital35,610-MOCK35,MockAddress35,19034,16740,T
MockHospital36,610-MOCK36,MockAddress36,19035,17500,T
MockHospital37,610-MOCK37,MockAddress37,19036,18260,F
MockHospital38,610-MOCK38,MockAddress38,19037,19020,T
MockHospital39,610-MOCK39,MockAddress39,19038,19780,F
MockHospital40,610-MOCK40,MockAddress40,19039,20540,T
MockHospital41,610-MOCK41,MockAddress41,19040,21300,F
MockHospital42,610-MOCK42,MockAddress42,19041,22060,T
MockHospital43,610-MOCK43,MockAddress43,19042,22820,T
MockHospital44,610-MOCK44,MockAddress44,19043,23580,T
MockHospital45,610-MOCK45,MockAddress45,19044,24340,T
MockHospital46,610-MOCK46,MockAddress46,19045,25100,F
MockHospital47,610-MOCK47,MockAddress47,19046,25860,T
MockHospital48,610-MOCK48,MockAddress48,19047,26620,F
MockHospital49,610-MOCK49,MockAddress49,19048,27380,T